NO,NAMA RUMAH,HARGA,Luas bangunan,Luas tanah,Kamar tidur,Kamar mandi,Kapasitas mobil dalam garasi
333,"TEBET - Siap Huni, Bagus, Akses 2 Mobil","0,0672","0,1289","0,0676","0,1250","0,2222","0,1111"
334,"TEBET - Depan Taman, Baru, Jalan 2 Mobil","0,0859","0,1477","0,0713","0,1250","0,2222","0,0000"
335,Jual Cepat Rumah Di Casablanca Jakarta Selatan,"0,0781","0,2230","0,1709","0,6250","0,2222","0,2222"
336,"Rumah Baru dijual di Tebet Barat, lokasi strategis","0,0391","0,1289","0,0602","0,1250","0,2222","0,1111"
337,"Dijual Rumah Di Jl. Kebon Baru Utara, Tebet Jakarta Selatan","0,0278","0,1214","0,0490","0,3750","0,3333","0,1111"
338,Rumah baru 100% bergaya mewah tebet Jakarta selatan,"0,0438","0,0913","0,0825","0,2500","0,2222","0,0000"
339,Dijual Rumah Baru Dengan Design Minimalis Di Tebet,"0,0547","0,1054","0,0527","0,1250","0,2222","0,1111"
340,"Dijual Rumah Brand New, Ada Taman, Lingkungan Tenang Di Tebet Barat","0,0859","0,2700","0,1308","0,2500","0,3333","0,1111"
341,Dijual Rumah Dalam Komplek Elit Tebet Mas Lokasi Paling Premium di Tebet,"0,0703","0,2230","0,0639","0,1250","0,2222","0,1111"
342,"Dijual Rumah di Tebet Utara, akses 2 mobil","0,1063","0,0913","0,1538","0,1250","0,3333","0,1111"
343,TERJUAL Rumah Di Bukit Duri Area Komersil,"0,0453","0,0818","0,1456","0,2500","0,1111","0,1111"
344,DIJUAL CEPAT HARGA MURAH ( BU CEPAT) Rumah 700 m2 Di TEBET,"0,1281","0,3641","0,4799","0,7500","0,3333","0,3333"
345,Dijual rumah siap huni 2lantai full strategis dekat kokas akes jalan2mobil lokasi menteng dalam,"0,0188","0,0818","0,0208","0,3750","0,1111","0,1111"
346,Rumah Siap Huni Hanya 50m Dari Dan Ke Asem Baris Raya Tebet,"0,0172","0,0348","0,0535","0,0000","0,1111","0,0000"
347,Rumah Bagus Siap Huni Pinggir Jalan 2 Mbl Asem Baris Tebet,"0,0180","0,0536","0,0602","0,1250","0,1111","0,0000"
348,"Dijual rumah di Asem baris, Akses jalan 2 mobil","0,0156","0,0348","0,0423","0,0000","0,1111","0,0000"
349,Rumah baru siap huni di tebet barat,"0,0469","0,1439","0,0602","0,3750","0,3333","0,1111"
350,TEBET RAYA Rumah Layak Huni Dekan Stasiun,"0,3281","0,2700","0,2927","0,5000","0,6667","0,1111"
351,Dijual Rumah Komplek Tebet Lokasi Premium Tenang Jalan Lebar,"0,1875","0,1439","0,2452","0,1250","0,2222","0,1111"
352,TEBET RAYA Jalan Lebar Cocok Untuk Resto dan Kantor,"0,2188","0,1637","0,2474","0,3750","0,3333","0,2222"
353,TEBET RAYA AREA KOMERSIL Rumah Siap Huni Bisa Dibangun 4 Lantai,"0,3281","0,2230","0,3462","0,2500","0,3333","0,1111"
354,"3 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta","0,0188","0,0536","0,0342","0,1250","0,1111","0,0000"
355,Rumah Second Terawat Dan Setrategis Tebet Jakarta Selatan,"0,3438","0,2700","0,3796","0,3750","0,2222","0,3333"
356,Rumah tebet dekat mall kokas,"0,0266","0,0677","0,0245","0,1250","0,1111","0,1111"
357,Rumah Baru di Jln Tebet Timur Jakarta Selatan,"0,0562","0,1007","0,0609","0,3750","0,3333","0,1111"
358,"Dijual Rumah 1,5 Lantai Di Tebet Dalam","0,3125","0,2230","0,3314","0,2500","0,2222","0,3333"
359,"Dijual Cepat Rumah Bagus di Tebet, Siap huni","0,0391","0,1007","0,0342","0,3750","0,2222","0,2222"
360,"Dijual Rumah Baru di Tebet, Elite","0,0453","0,1091","0,0654","0,3750","0,3333","0,1111"
361,"Dijual Brand New Rumah Tebet, Ada Swimming Pool","0,3750","0,5992","0,4198","0,3750","0,3333","1,0000"
362,"Dijual Rumah Baru di Tebet, Jalan 1 mobil Lebar, Jakarta Selatan","0,0453","0,1091","0,0654","0,3750","0,3333","0,1111"
363,"Dijual Rumah Elite di Tebet, Jakarta Selatan","0,0039","0,3923","0,1917","0,2500","0,1111","0,0000"
364,"Dijual Rumah Baru di Tebet, siap huni","0,0453","0,1571","0,0565","0,1250","0,3333","0,2222"
365,Dijual Rumah Cantik Tebet Lokasi Premium Nyaman Jalan Lebar,"0,1719","0,1665","0,1850","0,5000","0,5556","0,3333"
366,Rumah Nyaman Jalan Lebar Strategis Di Kebon Baru Dekat Stasiun Tebet,"0,0625","0,1994","0,1159","0,5000","0,4444","0,2222"
367,Rumah 2 Lantai Luas Murah Strategis Di Kebon Baru Dekat Stasiun Tebet,"0,0203","0,0818","0,0579","0,2500","0,2222","0,0000"
368,Dijual Rumah Strategis Komplek Gudang Peluru Jakarta Selatan,"0,1375","0,0931","0,2140","0,3750","0,2222","0,1111"
369,Rumah Murah Di Tebet Jaksel,"0,0906","0,4111","0,2779","0,3750","0,3333","0,3333"
370,"Rumah 2 Lantai Di Tebet Barat, Blakang Perkantoran Mt Haryono","0,1563","0,5052","0,2504","0,6250","0,4444","0,3333"
371,"Rumah Di Pinggir Jalan Tebet Barat Raya, SHM, Investasi Bagus","0,1641","0,2700","0,2571","0,8750","0,6667","0,5556"
372,Dijual Cepat Rumah Tebet Barat Dalam Lokasi Strategis Jakarta Selatan,"0,0406","0,0630","0,0810","0,1250","0,1111","0,1111"
373,"Rumah Tebet Bebas banjir, dekat pintu tol","0,3359","0,5992","0,4131","0,5000","0,3333","0,0000"
374,Rumah Mewah Dan Sangat Strategis Di Tebet,"0,1328","0,2606","0,1382","0,6250","0,3333","0,1111"
375,"Tebet Mas, lokasi OK depan taman","0,1875","0,1524","0,1991","0,2500","0,2222","0,1111"
376,Rumah Di tebet Barat,"0,0391","0,0254","0,0416","0,1250","0,2222","0,0000"
377,Rumah di tebet,"0,0391","0,1759","0,0275","0,2500","0,1111","0,1111"
378,Rumah Murah Di Tebet Jakarta Selatan BaruÂ ,"0,0438","0,0856","0,0438","0,2500","0,3333","0,2222"
379,Rumah Siap Huni Di Tebet Lokasi Sangat Strategis Sekali,"0,0281","0,1759","0,0267","0,1250","0,2222","0,0000"
380,Dijual Rumah Mewah Terawat Di Daerah Tebet Hrg Menarik,"0,1992","0,5052","0,2786","0,5000","0,3333","0,0000"
381,Rumah Baru Tebet,"0,0813","0,1477","0,0713","0,2500","0,3333","0,1111"
382,"Dijual Rumah Asri, Tebet, Jakarta Selatan","0,0563","0,1289","0,0691","0,2500","0,2222","0,0000"
383,Rumah Lama di tebet berada di pusat kota jakarta selatan,"0,1719","0,2437","0,1991","0,2500","0,2222","0,1111"
384,di jual rumah bagus tebet,"0,0234","0,0292","0,0178","0,0000","0,1111","0,1111"
385,Rumah Lama Tebet Dijual Cepet Dengan Lokasi Strategis,"0,0234","0,0913","0,0602","0,1250","0,1111","0,1111"
386,Rumah Besar Bangunan Kokoh Siap Huni Di Kebon Baru Tebet Jak Sel,"0,1281","0,3641","0,4799","0,7500","0,3333","0,1111"
387,Dijual rumah hitung tanah di tebet dalam komplek jalan lebar,"0,0859","0,1449","0,1211","0,1250","0,1111","0,1111"
388,"Rumah Di Tebet Timur, Jalan 1 Mobil, Dekat 2 mobil","0,0500","0,0536","0,0661","0,5000","0,2222","0,1111"
389,"Rumah Di Tebet Barat Dalam, Jalan 2 Mobil, Strategis","0,0703","0,1289","0,1241","0,3750","0,1111","0,1111"
390,"Tebet rumah minimalis modern akses 2 mobil, jakarta selatan","0,0391","0,1195","0,0342","0,5000","0,3333","0,1111"
391,Rumah Dijual di Tebet Jakarta Selatan,"0,0391","0,2700","0,0342","0,2500","0,3333","0,1111"
392,Rumah murah dan strategis di tebet timur jakarta selatan,"0,1016","0,0818","0,1738","0,3750","0,2222","0,0000"
393,Rumah dua lantai di Tebet Barat Dalam Jakarta Selatan,"0,0391","0,1618","0,0639","0,3750","0,3333","0,1111"
394,"Rumah Siap Huni LT 170 M2 TERMURAH di Tebet Dalam, Jakarta Selatan","0,0391","0,1383","0,0862","0,5000","0,1111","0,1111"
395,Newly House dekat Taman Akses JALAN 2 MOBIl bentuk tanah NGANTONG di Tebet Barat,"0,0617","0,1524","0,0416","0,3750","0,3333","0,1111"
396,Rumah Cantik 3 Lt Semi FURNISH di Tebet Utara,"0,0250","0,1383","0,0275","0,3750","0,2222","0,0000"
397,Rumah siap huni di Tebet - RPA,"0,1172","0,4581","0,2868","0,7500","0,4444","0,4444"
398,Brand New Rumah Soho Tebet,"0,1211","0,1101","0,0617","0,2500","0,3333","0,1111"
399,"Rumah Brand New Siap Huni Tebet Timur Dalam, Dekat Pspt","0,0453","0,1289","0,0565","0,1250","0,2222","0,0000"
400,Di jual rumah siap huni model classic di tebet menteng dalem jakarta selatan,"0,0797","0,3076","0,0565","0,6250","0,5556","0,2222"
401,Rumah Cantik Tebet Jaksel. Dekat Cbd Kuningan Dan Mal Kokas,"0,0234","0,0818","0,0267","0,1250","0,1111","0,0000"
402,Dijual Rumah Siap Huni di Tebet Jakarta Selatan,"0,0391","0,2700","0,0342","0,2500","0,3333","0,1111"
403,"Rumah Klasik SUPER MEWAH Semi Furnished Tebet Timur, Jakarta Selatan","0,4672","0,8815","0,4577","0,7500","0,5556","0,3333"
404,"Rumah Tua HITUNG TANAH TERMURAH di Area Komersial Jl. Johar, Menteng","0,8438","0,3170","0,7585","0,2500","0,2222","0,3333"
405,"Rumah Tua Strategis Dijual Hitung Tanah Di Tebet, Jakarta Selatan","0,0391","0,1524","0,2273","0,2500","0,1111","0,0000"
406,Dekat Rumah Sakit Tebet Dan Gelael,"0,0391","0,1289","0,0676","0,7500","0,7778","0,2222"
407,TEBET Rumah Jual Hitung Tanah Jalan Tiga Mobil Lebar,"0,0547","0,0818","0,1085","0,1250","0,1111","0,1111"
408,"Rumah Lama Di Prime Area Tebet, Komersial","0,8438","1,0000","0,8692","0,2500","0,3333","0,1111"
409,Rumah Di Area Komersial Tebet Raya,"0,3281","0,2230","0,3462","0,2500","0,3333","0,2222"
410,"Rumah Cantik Brand New, Tersisa 2 Unit","0,0344","0,0818","0,0238","0,3750","0,3333","0,1111"
411,"TEBET - Rumah Baru, Design Menarik di Tengah Kota Jakarta","0,0859","0,2230","0,0884","0,2500","0,3333","0,1111"
412,"Rumah di Tebet Timur Jalan 1 Mobil Lebar, Luas Tanah 135 m2","0,0141","0,0630","0,0602","0,3750","0,1111","0,0000"
413,"TEBET - Sangat Terawat, Area Tenang di Depan Taman","0,0780","0,2700","0,1233","0,3750","0,4444","0,1111"
414,"DIJUAL Cepat Rumah Baru Siap Huni Full Furnish, Tebet Barat","0,0703","0,2230","0,0884","0,2500","0,3333","0,1111"
415,"Tebet rumah mewah prime lokasi, jakarta selatan","0,2422","0,6933","0,2281","0,6250","0,4444","0,5556"
416,Rumah luas kolam renang di Tebet Jakarta Selatan,"0,3438","0,5992","0,4198","0,3750","0,4444","1,0000"
417,Rumah jual tebet jl 2mobil 4. 5mly,"0,0547","0,1759","0,0639","0,3750","0,3333","0,1111"
418,Dijual Rumah Tebet Barat Lokasi Premium Tenang Jalan 1 Mobil,"0,0391","0,0818","0,0602","0,1250","0,2222","0,1111"
419,Dijual Rumah Baru Siap Huni Depan Taman Tebet,"0,0781","0,1477","0,0713","0,2500","0,3333","0,1111"
420,"Rumah baru 100%, Tebet, Jakarta Selatan","0,0406","0,0856","0,0416","0,1250","0,2222","0,1111"
421,"4 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta","0,0516","0,1101","0,0602","0,2500","0,3333","0,1111"
422,TEBET Rumah Mewah Terawat Dekat Jalan Soepomo,"0,1078","0,2982","0,1270","0,3750","0,3333","0,1111"
423,Dijual Rumah Di Asem Barus Tebet,"0,4063","0,2700","0,7541","0,2500","0,3333","0,4444"
424,"Dijual Rumah Di Barat Asem Baris,Kebun Baru","0,0625","0,2418","0,0713","0,3750","0,4444","0,2222"
425,Rumah Didalam Kompleks Tebet,"0,0609","0,2041","0,0862","0,3750","0,3333","0,2222"
426,Dijual Rumah Tebet Depan Taman Asri Jalan Muat 2 Mobil,"0,0422","0,0630","0,0565","0,1250","0,2222","0,1111"
427,Rumah Tebet Asam Baris,"0,0297","0,0913","0,0788","0,1250","0,2222","0,0000"
428,Rumah Tebet Barat,"0,0422","0,1054","0,0260","0,1250","0,2222","0,1111"
429,Dijual Rumah Hitung Tanah Tebet Timur Lokasi Strategis Jalan 1 Mobil,"0,0406","0,0348","0,0936","0,2500","0,1111","0,0000"
430,Dijual Rumah Hitung Tanah Tebet Utara IV,"0,0208","0,0160","0,0267","0,0000","0,1111","0,0000"
431,Rumah Mewah Brand New Di Menteng Dalam Tebet Jakarta Selatan,"0,3750","0,7780","0,1612","0,3750","0,5556","0,2222"
432,"TEBET - Rumah Bagus, Jalan 1 Mobil, Siap Huni","0,0859","0,1994","0,0713","0,2500","0,4444","0,0000"
433,"TEBET - RUMAH BARU, Design Bagus","0,0859","0,1947","0,0639","0,1250","0,2222","0,3333"
434,"Tebet-Area Komersi, Jalan 3 Mobil Lebar","0,3281","0,2230","0,3462","0,3750","0,3333","0,2222"
435,"TEBET - SIAP HUNI, Jalan 1 Mobil","0,0289","0,0367","0,0312","0,1250","0,1111","0,1111"
436,"TEBET - RUMAH BARU, Jalan 3 Mobil Lebar","0,4531","0,7874","0,4591","0,3750","0,5556","0,3333"
437,rumah second tebet,"0,3750","0,2700","0,3796","0,2500","0,3333","0,3333"
438,Rumah Hitung Tanah Di Gudang Peluru,"0,0469","0,1232","0,1040","0,1250","0,2222","0,0000"
439,Dijual Rmh Secont Tebet,"0,0781","0,1759","0,0646","0,2500","0,3333","0,2222"
440,"Rumah Dekat Pusat Kota Selangkah Menuju Terminal Kampung Melayu, Stasiun Tebet Dan Kota Casablanca","0,0250","0,0790","0,0743","0,2500","0,2222","0,0000"
441,Rumah baru 2 lantai di Tebet timur,"0,0391","0,1007","0,0431","0,1250","0,3333","0,1111"
442,Di Jual Rmh Tbt Siap Huni,"0,1797","0,5052","0,1144","0,2500","0,4444","0,2222"
443,Rumah bagus dekat taman dan pasar pspt siap huni acces mudah kemana saja,"0,0461","0,1853","0,0587","0,3750","0,4444","0,1111"
444,Rumah Tebet Timur Dalam,"0,0203","0,0348","0,0639","0,1250","0,1111","0,0000"
445,Jual Rumah 2 Lantai Di Tebet Jakarta Selatan,"0,0469","0,1439","0,0602","0,3750","0,3333","0,0000"
446,Rumah Mewah Siap huni Tebet,"0,4375","0,7874","0,4591","0,3750","0,5556","0,3333"
447,"For Sale British Tuscan House At Tebet Mas, Jaksel","0,5625","0,4111","0,4948","0,3750","0,4444","0,1111"
448,Hunian Nyaman Di Gudang Peluru,"0,1094","0,3001","0,2600","0,5000","0,2222","0,0000"
449,"Rumah Siap Huni 2 Lantai,Lokasi Strategis Menteng Dalam Tebet Jaksel","0,0625","0,1101","0,0542","0,2500","0,3333","0,1111"
450,TEBET Rumah Lama Hitung Tanah Bangunan Masih Layak Huni,"0,0969","0,1289","0,1501","0,3750","0,2222","0,1111"
451,Rumah Mewah Dijual Tebet Jakarta Selatan,"0,2578","0,6933","0,2311","0,3750","0,3333","0,5556"
452,Dijual rumah mewah tebet barat,"0,2156","0,4111","0,1902","0,2500","0,3333","0,3333"
453,Rumah Tebet segera jual,"0,0430","0,1251","0,1055","0,6250","0,4444","0,1111"
454,Rumah Baru Lux siap huni strategis di Menteng Dalam Tebet Jakarta Selatan,"0,0813","0,3076","0,0565","0,6250","0,5556","0,2222"
455,"5 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta","0,0469","0,1289","0,0788","0,3750","0,3333","0,1111"
456,"Tebet Barat Rumah Full Furnished, Jakarta Selatan","0,0813","0,1769","0,0639","0,3750","0,3333","0,4444"
457,Dijual Rumah Pinggir Jalan Di Asem Baris Tebet Jakarta Selatan,"0,1094","0,1778","0,1085","0,2500","0,2222","0,1111"
458,Dijual Rumah Mewah Lokasi Strategis Di Tebet Barat Jakarta Selatan,"0,1219","0,3170","0,1308","0,3750","0,4444","0,2222"
459,Rumah Siap Huni Di Tebet Jakarta Selatan,"0,0344","0,0818","0,0193","0,3750","0,4444","0,0000"
460,Dijual Rumah Tebet Raya Lokasi Premium Area Komersial Jalan Raya,"0,2734","0,2230","0,3462","0,2500","0,2222","0,2222"
461,TEBET TIMUR - RUMAH MEWAH CLASSIC MODERN,"0,2734","0,6933","0,2281","0,3750","0,3333","0,3333"
462,Dijual Rumah Lux Tebet Jakarta Selatan,"0,2344","0,0724","0,1426","0,5000","0,5556","0,0000"
463,"Rumah Jual Hitung Tanah, Tebet Timur","0,0781","0,1665","0,1382","0,2500","0,3333","0,2222"
464,Rumah Dijual Hitung Tanah Di Tebet Barat,"0,1181","0,2267","0,1857","0,1250","0,1111","0,2222"
465,"TEBET - Rumah Bagus, Terawat, Dekat ke Kuningan","0,0563","0,1430","0,0602","0,8750","0,7778","0,1111"
466,TEBET - Siap Huni,"0,0578","0,1496","0,0676","0,2500","0,2222","0,1111"
467,Dijual Rumah Siap Huni BU di Kebon Baru Tebet Jakarta Timur,"0,0234","0,0960","0,0602","0,2500","0,2222","0,0000"
468,Dijual Rumah Cantik Tebet Lokasi Premium Nyaman Jalan 2 Mobil,"0,1172","0,1853","0,1501","0,2500","0,2222","0,3333"
469,"Rumah Jl. Rasamala Menteng Dalam, Hitung Tanah","0,0641","0,1289","0,1865","0,3750","0,1111","0,2222"
470,Dijual rumah second Tebet Jakarta Selatan berada dalam lingkungan aman,"0,1094","0,2512","0,1382","0,3750","0,4444","0,2222"
471,Dijual Rumah Di Kebon Baru Tebet,"0,0465","0,2465","0,1278","0,5000","0,4444","0,0000"
472,Rumah tebet timur dalam,"0,0750","0,2606","0,0884","0,3750","0,3333","0,1111"
473,Rumah Mewah Siap Huni Di Tebet,"0,0703","0,3358","0,1159","0,5000","0,4444","0,1111"
474,Rumah Asri Dan Sangat Strategis Di Tebet,"0,0547","0,0536","0,0743","0,5000","0,3333","0,0000"
475,Rumah Tebet utara,"0,0266","0,0292","0,0178","0,1250","0,1111","0,0000"
476,Rumah Second Fully Furnish Siap Huni Turun Harga BU Di Menteng Dalam Tebet Jakarta Selatan,"0,0516","0,1101","0,0542","0,2500","0,3333","0,1111"
477,Dijual Rumah Minimalist Modern 3lnt Tebet,"0,0422","0,0818","0,0267","0,2500","0,3333","0,2222"
478,Dijual Rumah 2 Lnt Tebet,"0,0438","0,1289","0,0565","0,2500","0,3333","0,1111"
479,Dijual rumah kos tebet,"0,0250","0,1289","0,0602","1,0000","0,2222","0,1111"
480,Dijual Rumah Kondisi Layak Huni Tebet,"0,0500","0,3170","0,1270","0,3750","0,3333","0,1111"
481,Tebet Timur Area Tenang dan Nyaman,"0,0250","0,0536","0,0267","0,1250","0,1111","0,0000"
482,Rumah Siap Huni Tebet Barat,"0,3281","0,3170","0,4428","0,6250","0,3333","0,3333"
483,Rumah Mewah di Tenet,"0,1141","0,1853","0,1872","0,2500","0,2222","0,0000"
484,TERJUAL TEBET Rumah Terawat Siap Huni Dekat dari Jalan Besar,"0,0311","0,0931","0,0758","0,3750","0,3333","0,1111"
485,TEBET Rumah Siap Huni Buatan Arsitek,"0,0344","0,0913","0,0267","0,1250","0,2222","0,1111"
486,TEBET Rumah Siap Huni Buatan Arsitek,"0,0281","0,0818","0,0267","0,2500","0,2222","0,1111"
487,Rumah Di Tebet Lokasi Strategis,"0,1016","0,2700","0,1456","0,3750","0,3333","0,0000"
488,Rumah di Tebet Hanya 200 m dari MT Haryono,"0,0781","0,2183","0,2214","0,5000","0,3333","0,4444"
489,Rumah Di Tebet Lingkungan Mewah Dan Akses Mudah,"0,1953","0,3170","0,2793","0,8750","0,3333","0,3333"
490,Rumah Nyaman Asambaris Tebet,"0,0625","0,2418","0,0713","0,6250","0,5556","0,1111"
491,"Rumah Dijual 2 lantai, kebon baru Tebet Jak sel","0,0906","0,4111","0,2779","0,5000","0,3333","0,4444"
492,"Rumah tebet timur jakarta selatan. cozy style modern mini custler 4, 6M","0,0563","0,1063","0,0617","0,3750","0,3333","0,1111"
493,Di Jual Rumah Second Lokasi Strategis Tebet Jakarta Selatan,"0,0938","0,2230","0,0951","0,2500","0,2222","0,1111"
494,"Tebet rumah modern classic, jakarta selatan","0,0391","0,3170","0,0713","0,3750","0,3333","0,1111"
495,"Rumah tebet dalam, jalan 3 mobil, lingkungan tenang, nego","0,5313","0,8815","1,0000","1,0000","0,6667","0,6667"
496,Dijual rumah cantik bagus di Daerah Menteng Tebet,"0,0672","0,1242","0,1077","0,3750","0,1111","0,0000"
497,Dijual rumah baru cantik minimalis di Tebet,"0,0469","0,1439","0,0602","0,3750","0,3333","0,0000"
498,Dijual Rumah Siap Huni 1.5 Lnt,"0,0391","0,1195","0,0602","0,2500","0,2222","0,1111"
499,"Rumah Minimalist Dijual Di Kebon Baru, Tebet, Jakarta","0,0371","0,1214","0,0490","0,3750","0,3333","0,1111"
500,Dijual Rumah Siap Huni DI Tebet Jaksel,"0,2188","0,2700","0,2571","0,6250","0,3333","0,2222"
501,"Tebet Timur Jalan lebar, dekat statiun, harga bagus","0,2031","0,3170","0,3618","0,3750","0,4444","0,3333"
502,Rumah mewah dijual di Tebet Jakarta selatan,"0,3438","0,6463","0,4131","0,5000","0,3333","0,3333"
503,"Rumah Hitung Tanah di Tebet Timur, Jalan Lebar 3 Mobil, Bentuk Tanah Persegi","0,0953","0,1289","0,1501","0,5000","0,2222","0,2222"
504,Rumah second masih bagus wilayah Tebet,"0,0781","0,2465","0,1248","0,5000","0,3333","0,0000"
505,TERJUAL TEBET TIMUR JALAN 2 MOBIL Dekat Taman,"0,0516","0,1289","0,0676","0,1250","0,2222","0,1111"
506,Dijual Rumah Cantik Tebet Barat Lokasi Dekat Taman Nyaman Jalan 1 Mobil,"0,0391","0,1759","0,0267","0,1250","0,3333","0,1111"
507,Very Cheap House Tebet,"0,0859","0,1468","0,2110","0,3750","0,2222","0,0000"
508,"Tebet rumah full furnished, jakarta selatan","0,0938","0,1383","0,0832","0,5000","0,5556","0,2222"
509,"The Classic Luxury House With Pool @Brand New near Cassablanca Area, Palbatu, Jakarta Selatan","0,0797","0,2935","0,0565","0,5000","0,4444","0,2222"
510,"The Classic Luxury House With Pool @Brand New near Cassablanca Area, Palbatu, Jakarta Selatan","0,0469","0,1289","0,0788","0,3750","0,3333","0,1111"
511,Rumah siap huni di tebet dalam,"0,1094","0,3829","0,2199","0,6250","0,5556","0,1111"
512,Rumah Area Tebet Ada Kamar Tidur,"0,0313","0,1214","0,0490","0,2500","0,2222","0,1111"
513,Dijual Rumah Gudang Peluru Tebet Lokasi Premium Nyaman Jalan Lebar,"0,1133","0,3735","0,1753","0,5000","0,4444","0,1111"
514,"Rumah di Tebet Timur Dalam 7 i, Luas Tanah 179 m2, Lebar Muka 12 meter","0,0359","0,0913","0,0929","0,2500","0,1111","0,1111"
515,Dijual Rumah Di Tebet,"0,1563","0,4111","0,2571","0,5000","0,2222","0,3333"
516,"Dijual Rumah Baru Siap Huni Daerah Tebet , Jakarta Selatan","0,0938","0,1477","0,0832","0,2500","0,3333","0,1111"
