NO,NAMA RUMAH,HARGA,Luas bangunan,Luas tanah,Kamar tidur,Kamar mandi,Kapasitas mobil dalam garasi
699,Dijual rumah di Tebet,"0,1211","0,1759","0,1085","0,3750","0,3333","0,1111"
700,Jual Rumah Mewah Siap Huni Strategis di Tebet Jakarta Selatan,"0,1219","0,3170","0,1308","0,3750","0,4444","0,2222"
701,Townhouse Bidakara,"0,1875","0,5052","0,1144","0,2500","0,4444","0,3333"
702,Tebet Dijual Rumah cantik 2 lantai semi furnished dan lay out nya bagus,"0,0953","0,2041","0,1389","0,3750","0,3333","0,2222"
703,"Rumah di depan taman di tebet utara, belakang pertokoan Elektronic city","0,0313","0,0715","0,0713","0,1250","0,2222","0,0000"
704,Dijual rumah Tebet 2 lantai. akses strategis,"0,0406","0,0818","0,0602","0,3750","0,2222","0,2222"
705,Rumah Mewah Tebet Utara Jakarta Selatan,"0,3281","0,5992","0,4198","0,3750","0,3333","1,0000"
706,"rumah area komersial, tebet raya, jakarta selatan","0,3281","0,2700","0,2927","0,5000","0,6667","0,3333"
707,"Rumah Tebet Barat Jakarta, Siap Huni","0,0391","0,0913","0,0475","0,2500","0,3333","0,1111"
708,Rumah Bagus siap huni akses 2 mobil daerah Tebet Jakarta Selatan,"0,1172","0,1712","0,1382","0,1250","0,4444","0,1111"
709,Dijual Rumah Mewah Lokasi Bagus di Tebet Jalan Lebar,"0,3750","0,4581","0,3202","0,3750","0,4444","0,1111"
710,"3 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta","0,0094","0,0818","0,0267","0,1250","0,1111","0,0000"
711,"Rumah 2 lantai di Jalan Sawo Kecik Raya, Bukit Duri, Tebet, Jakarta Selatan","0,0703","0,3396","0,1909","0,3750","0,3333","0,3333"
712,Rumah Bagus Cakep Dikawasan Elit Tebet Jaksel,"0,1094","0,1853","0,1872","0,3750","0,3333","0,1111"
713,Dijual Rumah Tinggal Siap Huni Di Tebet lokasi strategis dan premium di Jakarta Selatan,"0,1797","0,3923","0,1917","0,2500","0,1111","0,0000"
714,"Rumah Terawat Siap Huni Di Tebet, Jaksel","0,1016","0,2700","0,1233","0,2500","0,4444","0,0000"
715,"4 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta","0,0313","0,2230","0,0416","0,2500","0,2222","0,0000"
716,Tebet Rumah Lama Dijalan Lebar Dengan Lokasi Strategis Jual Cepat,"0,2188","0,2230","0,1530","0,2500","0,2222","0,3333"
717,RUMAH TOWN HOUSE CANTIK TEBET,"0,0453","0,1477","0,0602","0,2500","0,3333","0,0000"
718,Dijual Rumah Hitung Tanah Tebet Lokasi Strategis Nyaman Jalan 2 Mobil,"0,0781","0,1383","0,1107","0,3750","0,2222","0,0000"
719,Dijual rumah di Tebet,"0,2656","0,1289","0,2942","0,3750","0,2222","0,1111"
720,Rumah Di Tebet,"0,0313","0,0818","0,0267","0,2500","0,4444","0,0000"
721,Brand New Minimalis Tebet Jalan Lebar Depan Taman Dijual Cepat,"0,0625","0,1101","0,0394","0,5000","0,4444","0,1111"
722,Dijual Rumah Cantik Kebon Baru Lokasi Strategis Nyaman Jalan 2 Mobil,"0,0234","0,0724","0,0602","0,2500","0,2222","0,0000"
723,"Rumah Tinggal Di Area Komersil Jl Tebet Raya, Strategis Dan Murah","0,3125","0,2700","0,3462","0,3750","0,3333","0,1111"
724,NEW TOWNHOUSE WITH PRIVATE POOL AT BIDAKARA TEBET JAKARTA SELATAN,"0,1797","0,5052","0,1144","0,2500","0,4444","0,3333"
725,Rumah Siap Huni Tebet Jalan 2 Mobil Dijual Cepat,"0,0313","0,0913","0,0639","0,2500","0,2222","0,0000"
726,Rumah Tebet Barat,"0,4531","0,4111","0,4822","0,6250","0,3333","0,7778"
727,Rumah bagus siap huni dengan lokasi strategis dekat dengan supomo dan casablanca di jalan 1 mobil,"0,0586","0,1289","0,0713","0,3750","0,4444","0,1111"
728,Rumah Termurah Akses Jalan 2 Mobil Luas Tanah 268 M Di Tebet Barat,"0,0922","0,3170","0,1590","0,3750","0,3333","0,2222"
729,For Sale Single House at Tebet & Condition Semi Furnished HSE-A0330,"0,1406","0,2230","0,2333","0,2500","0,3333","0,2222"
730,Rumah Bagus Dan Elite Di Kawasan Tebet Yang Pretigous,"0,0891","0,1759","0,0527","0,1250","0,2222","0,2222"
731,"4 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta","0,0281","0,1289","0,0416","0,2500","0,2222","0,1111"
732,"5 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta","0,0313","0,1101","0,0602","0,3750","0,3333","0,2222"
733,Rumah Minimalis bagus Tebet Utara,"0,0484","0,1477","0,0416","0,2500","0,2222","0,1111"
734,Rumah Siap Huni Di Tebet Dalam Jakarta Selatan,"0,0391","0,0931","0,0706","0,2500","0,1111","0,1111"
735,"Dijual Rumah Mewah Full Furnish Di Tebet, Jakarta Selatan","0,5313","0,6933","0,4799","0,5000","0,6667","1,0000"
736,RumahKomersil di Tebet Timur Raya,"0,3281","0,6707","0,5364","0,2500","0,2222","0,3333"
737,Rumah modern semi klasik di Tebet,"0,4531","0,6933","0,3299","0,5000","0,5556","0,8889"
738,"Rumah Dekat Jalan Utama Bukitduri, Hanya 2 Rumah Dari Jalan Besar","0,0156","0,0611","0,0698","0,2500","0,2222","0,1111"
739,JUAL CEPAT RUMAH MEWAH CLASSIC MODERN BEBAS BANJIR LOKASI PREMIUM TEBET,"0,3750","0,4581","0,3202","0,3750","0,3333","0,3333"
740,"Dijual murah, hitung tanah, tebet timur dalam","0,1328","0,2982","0,2467","0,6250","0,3333","0,3333"
741,Dijual sangat murah rumah baru daerah tebet,"0,0563","0,1759","0,0721","0,3750","0,2222","0,3333"
742,Dijual cepat rumah Tebet timur jakarta selatan,"0,0781","0,0988","0,1241","0,3750","0,2222","0,1111"
743,"Brand New Minimalis 3 Lantai Tebet Dijual Cepat, Lokasi Strategis","0,0211","0,0913","0,0193","0,2500","0,2222","0,0000"
744,Dijual Rumah Tebet Barat Lokasi Strategis Nyaman Jalan 1 Mobil,"0,0250","0,0724","0,0223","0,1250","0,1111","0,0000"
745,Rumah Siap Huni Di Lokasi Premium Tebet Barat Dalam,"0,1250","0,2230","0,1731","0,2500","0,2222","0,0000"
746,Rumah Cantik Minimalis Tebet,"0,0250","0,0818","0,0267","0,1250","0,1111","0,0000"
747,"rumah tebet dalam, hoek, SHM","0,1719","0,3829","0,1605","0,3750","0,3333","0,0000"
748,Cluster Baru Minimalis Modern Jaya Mandala Tebet Jakarta Selatan,"0,2109","0,5052","0,1144","0,2500","0,3333","0,1111"
749,"Rumah di Kasablangka, Tebet, Menteng, Jakarta Selatan","0,0430","0,0602","0,0936","0,2500","0,3333","0,1111"
750,Rumah Mewah Murah Dalam Komplek Di Tebet,"0,0781","0,2465","0,1270","0,6250","0,4444","0,1111"
751,Rumah Standard Di Tebet Dalam Jakarta Selatan,"0,0656","0,2230","0,1530","0,6250","0,2222","0,0000"
752,Rumah Strategis Siap Huni Di Raya Tebet Jakarta Selatan,"0,0609","0,1759","0,1575","0,1250","0,1111","0,0000"
753,Rumah Tua Strategis Di Tebet Raya Jakarta Selatan,"0,2578","0,6463","0,4978","0,2500","0,1111","0,2222"
754,Rumah Mewah Hook Siap Huni Dan Terawat Di Gudang Peluru Tebet,"0,1547","0,5484","0,2779","0,3750","0,4444","0,5556"
755,Rumah Cantik Dan Luas Di Tebet Jakarta Selatan,"0,1250","0,2230","0,2481","0,2500","0,2222","0,0000"
756,Rumah Strategis Di Tebet Jakarta Selatan,"0,0859","0,0988","0,1241","0,3750","0,1111","0,0000"
757,Rumah di Tebet Jakarta Selatan,"0,3750","0,5052","0,7028","1,0000","1,0000","1,0000"
758,"5 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta","0,0781","0,2230","0,0713","0,3750","0,3333","0,1111"
759,Rumah Murah Tebet,"0,0359","0,0536","0,0267","0,2500","0,3333","0,0000"
760,Rumah di Tebet,"0,0625","0,3264","0,1122","0,1250","0,2222","0,0000"
761,"Rumah Tebet Barat Dalam, Jakarta Selatan, Lokasi Strategis","0,0391","0,0913","0,0475","0,2500","0,3333","0,1111"
762,"4 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta","0,0313","0,0913","0,0267","0,2500","0,2222","0,0000"
763,Rumah Baru Hook Modern Minimalis Strategis Siap Huni Di Tebet Timur,"0,0359","0,1101","0,0416","0,2500","0,3333","0,1111"
764,"Rumah Di Tebet Timur Dalam, Jakarta Selatan, Siap Huni, Semi Furnished","0,0531","0,1759","0,0565","0,2500","0,2222","0,1111"
765,Rumah Asri Di Tebet Timur Tebet Jakarta Selatan,"0,0508","0,1289","0,0713","0,3750","0,2222","0,3333"
766,"Rumah Siap Huni Tebet Raya, Lingkungan Tenang nyaman, & Strategis","0,1563","0,1994","0,1865","0,3750","0,2222","0,0000"
767,Dijual rumah di tebet timur 2 lantai,"0,0313","0,0536","0,0267","0,2500","0,3333","0,0000"
768,Rumah Siap Huni Jalanan 3 Mobil Di Tebet,"0,1219","0,0818","0,1122","0,3750","0,1111","0,1111"
769,TERJUAL Tebet Rumah Siap Huni Jalan Dua Mobil 300 Meter dari Mt Haryono,"0,0703","0,2230","0,1441","0,3750","0,3333","0,2222"
770,"3 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta","0,0188","0,0913","0,0342","0,1250","0,1111","0,0000"
771,"5 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta","0,0781","0,1759","0,0862","0,3750","0,4444","0,2222"
772,"4 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta","0,0938","0,2230","0,1382","0,2500","0,2222","0,3333"
773,"Rumah Bagus 2 Lantai, Bebas Banjir, Tenang Di Tebet, Jakarta Selatan","0,1484","0,4111","0,2162","0,5000","0,3333","0,1111"
774,"Rumah Mewah 2 Lt Design Apik di Tebet Barat, Jakarta Selatan","0,0781","0,2700","0,1159","0,3750","0,4444","0,0000"
775,Rumah Tebet Barat,"0,0438","0,0818","0,0565","0,1250","0,1111","0,0000"
776,"Rumah Murah Minimalis Di Tebet Timur, Tebet Jakarta Selatan","0,0703","0,1759","0,0639","0,3750","0,2222","0,0000"
777,"Dijual rumah murah dan cepat aja di Kebon Baru, Tebet","0,0234","0,1289","0,0505","0,2500","0,1111","0,0000"
778,"Rumah second bangunan kokoh dan terawat dalam komplek Gudang Peluru , Tebet , Jakarta Selatan","0,1016","0,3923","0,1753","0,3750","0,2222","0,1111"
779,Rumah Mewah di Menteng Dalam - Tebet,"0,0906","0,2935","0,0565","0,2500","0,4444","0,3333"
780,Rumah Mewah di Tebet,"0,1797","0,3923","0,1917","0,2500","0,2222","0,1111"
781,"Jl. Tebet Raya, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12810, Indonesia","0,1328","0,2230","0,2333","0,3750","0,3333","0,1111"
782,Dijual rumah Tebet Jakarta Selatan,"0,0781","0,0818","0,1085","0,3750","0,3333","0,1111"
783,Dijual Segera Rumah Tebet Timur Jakarta Selatan,"0,0391","0,1665","0,0565","0,3750","0,5556","0,1111"
784,Dijual rumah di Tebet,"0,1250","0,2700","0,1865","0,2500","0,3333","0,2222"
785,Dijual rumah siap huni di Tebet,"0,1094","0,2700","0,0921","0,7500","0,5556","0,1111"
786,Dijual rumah di tebet timur raya,"0,2969","0,3547","0,4502","0,8750","0,4444","0,4444"
787,"Rumah Brand New Posisi Depan Tama Di Tebet Barat, 3 Lantai","0,1359","0,3641","0,1441","0,3750","0,5556","0,0000"
788,"4 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta","0,0500","0,1101","0,0490","0,2500","0,2222","0,1111"
789,Rumah tebet barat dalam,"0,1250","0,2700","0,1382","0,5000","0,3333","0,2222"
790,"Rumah Di Tebet,Lt270/375m,2 Lantai,Dkt Gatot Subroto","0,1203","0,2935","0,1568","0,3750","0,3333","0,3333"
791,Rumah Siap Huni Di Tebet Akses Mudah Dekat Ke Supomo Pancoran,"0,0391","0,1571","0,0713","0,3750","0,3333","0,1111"
792,Dekat Jalan Soepomo Dan Mall Kota Kasablanka. Fasilitas Terdekat Baik.,"0,3750","0,3170","0,6523","0,6250","0,4444","0,8889"
793,Rumah Second di Kebon Baru Tebet Jakarta Selatan,"0,1875","0,6933","0,2348","0,5000","0,4444","0,3333"
794,Town House di Tebet Jakarta Selatan,"0,0430","0,0536","0,0713","0,0000","0,1111","0,1111"
795,Good House Tebet,"0,1406","0,3641","0,5171","0,7500","0,5556","0,0000"
796,Rumah Bagus di Daerah Tebet,"0,0094","0,0160","0,0193","0,2500","0,2222","0,0000"
797,Tebet Rumah Mewah Minimalis 2 Lantai,"0,0547","0,2418","0,0684","0,3750","0,4444","0,2222"
798,"Rumah Di Tebet Dalam Akses 2 Mobil Besar, Jakarta Selatan","0,1953","0,1618","0,1501","0,1250","0,1111","0,1111"
799,"3 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta","0,0156","0,0348","0,0267","0,1250","0,1111","0,0000"
800,"Tebet Rumah Bagus Minimalis Modern, jakarta Selatan","0,1250","0,1392","0,1337","0,6250","0,4444","0,3333"
801,Rumah mewah baru minimalia di Tebet utara,"0,0750","0,2041","0,0862","0,3750","0,3333","0,1111"
802,"4 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta","0,0344","0,0913","0,0602","0,2500","0,2222","0,0000"
803,"Rumah Kebon Baru, Tebet, Jakarta Selatan, Hoek, Lokasi Strategis","0,0219","0,0856","0,0691","0,1250","0,1111","0,0000"
804,Rumah Tebet Siap Huni Jalan 2 Mobil,"0,0898","0,2700","0,1159","0,2500","0,3333","0,1111"
805,"Tebet Rumah Classic, Jakarta Selatan","0,0219","0,0113","0,0349","0,0000","0,0000","0,1111"
806,Dijual Rumah Tebet Barat Lokasi Strategis Nyaman Jalan 1 Mobil,"0,0328","0,0818","0,0305","0,1250","0,2222","0,1111"
807,"Dijual Rumah Bangunan 2 Lantai di Tebet, Jakarta Selatan","0,4219","0,4111","0,4822","0,7500","0,3333","0,5556"
808,Dijual Rumah Di Tebet Jakarta Selatan 3 Kmr 150m2 Nyaman Harga Best,"0,0281","0,0818","0,0267","0,1250","0,2222","0,0000"
809,Rumah Lama Tebet Timur Dalam,"0,0219","0,0348","0,0565","0,2500","0,1111","0,0000"
810,"Rumah Minimalis Clasik Tebet Barat, Jakarta Selatan","0,0547","0,1769","0,0386","0,2500","0,2222","0,1111"
811,"Rumah, Bukit Duri Tebet Jakarta, Jalan 2mobil, 162m, Dekat Kokas, BU","0,0172","0,0931","0,0802","0,1250","0,2222","0,1111"
812,"Tebet Rumah siap huni, jalan lebar, lokasi ok","0,0750","0,1101","0,0646","0,2500","0,2222","0,1111"
813,"Tebet Rumah hitung tanah, jalan lebar","0,1297","0,3029","0,2467","0,5000","0,3333","0,3333"
814,Rumah Tebet Dijual Cepat Dengan Lokasi Strategis,"0,0156","0,0630","0,0342","0,1250","0,1111","0,0000"
815,"5 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta","0,5313","0,3170","0,4056","0,3750","0,2222","0,3333"
816,"4 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta","0,0469","0,1289","0,0639","0,2500","0,2222","0,1111"
817,"8 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta","0,0859","0,1759","0,0936","0,7500","0,3333","0,0000"
818,"3 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta","0,0289","0,0913","0,0602","0,1250","0,1111","0,1111"
819,Dijual Rumah Minimalis 3 Lantai ada Kolam Renang di Tebet,"0,0906","0,2230","0,1085","0,3750","0,4444","0,3333"
820,Rumah Brand New Di Tebet Dekat Ke Jalan 3 Mobil Lt 112meter,"0,0391","0,0818","0,0431","0,1250","0,3333","0,0000"
821,Rumah Siap Huni @ Tebet,"0,0391","0,0913","0,0416","0,2500","0,3333","0,1111"
822,Rumah Mewah Bukit Duri,"0,1484","0,6933","0,2994","0,6250","0,4444","0,1111"
823,Rumah Mewah Harga Murah Siap Huni Akses Strategis Di Tebet Pancoran,"0,1797","0,3923","0,1917","0,5000","0,3333","0,3333"
824,Rumah Asem Baris Tebet,"0,0703","0,1900","0,1456","0,2500","0,2222","0,1111"
825,"Dijual rumah di komplek gudang peluru Tebet, Jakarta Selatan","0,0734","0,1759","0,0802","0,2500","0,3333","0,1111"
826,"Dijual Rumah di Tebet Barat, Jakarta Selatan ~ Lokasi Bagus Jalan Dua Mobil","0,3906","0,4581","0,3202","0,2500","0,2222","0,1111"
827,Rumah 2 lantai di Tebet Dalam,"0,0313","0,0254","0,0788","0,3750","0,3333","0,0000"
828,"Rumah Tebet Lokasi Strategis, Luas Pusat Bisnis. Dekat Kuningan","0,1328","0,3029","0,2422","0,3750","0,3333","0,1111"
829,Rumah Minimalis Di Tebet,"0,0430","0,0913","0,0416","0,1250","0,2222","0,1111"
830,Rumah Di Tebet Nyaman Aman Strategis Jalanan Besar 2 Mobil Bebas Banjir,"0,0859","0,1007","0,0260","0,1250","0,2222","0,0000"
831,Rumah Mewah 2 Lantai Di Asem Baris,"0,1016","0,2230","0,2013","0,3750","0,3333","0,1111"
832,Rumah Mungil Di Tebet Siap Huni,"0,0234","0,0536","0,0045","0,1250","0,3333","0,0000"
833,Rumah mininalis tebet,"0,0453","0,1289","0,0565","0,3750","0,3333","0,0000"
834,Rumah Lux Tebet,"0,2344","0,3641","0,1902","0,3750","0,4444","0,0000"
835,Rumah Baru Di Tebet Timur Lokasi Strategis,"0,0469","0,1289","0,0565","0,2500","0,2222","0,1111"
836,Rumah Cantik Di Tebet Dekat Supomo Pancoran Kuningan Gatot Subroto,"0,0750","0,1007","0,0646","0,2500","0,2222","0,0000"
837,"TEBET - Kondisi Bagus, Dekat Jalan 2 Mobil","0,0453","0,1007","0,0342","0,3750","0,2222","0,1111"
838,"TEBET - Siap Huni, Terawat, Tengah Kota, Strategis","0,0328","0,1101","0,0364","0,1250","0,2222","0,1111"
839,TEBET - Bagus Untuk Investasi dan Harga Sangat Menarik,"0,0313","0,0818","0,0632","0,1250","0,2222","0,0000"
840,"TEBET - Jalan 2 Mobil Lebar, Strategis","0,2031","0,3547","0,2519","0,5000","0,5556","0,5556"
841,TEBET - Siap Huni Lokasi Bagus,"0,1953","0,2719","0,2526","0,5000","0,3333","0,1111"
842,"TEBET - Rumah Bagus, Siap Huni","0,0469","0,1289","0,0602","0,2500","0,2222","0,1111"
843,TEBET - Rumah Baru,"0,0391","0,0536","0,0267","0,1250","0,1111","0,1111"
844,"TEBET - Siap Huni, Kondisi Sangat Terawat","0,0516","0,2230","0,0936","0,3750","0,3333","0,1111"
845,"TEBET - Area Tenang, Aman dan Nyaman","0,0453","0,1101","0,0743","0,2500","0,2222","0,1111"
846,Tebet - Dijual Rumah Mewah Klasik,"0,2813","0,6933","0,2281","0,3750","0,4444","0,4444"
847,"Tebet rumah minimalis modern, jakarta selatan","0,0273","0,1383","0,0275","0,3750","0,3333","0,0000"
848,"Dijual Rumah sangat strategis di Tebet Barat, dekat sekolah, stasiun, Tebet Mas","0,0297","0,1054","0,0594","0,3750","0,1111","0,0000"
849,Rumah Tingkat 2 Lantai Di Komplek Gudang Peluru Tebet Jakarta Selatan,"0,1328","0,4111","0,2162","0,7500","0,4444","0,3333"
850,Dijual Rumah Cantik Di Tebet Akses Jalan Lebar,"0,3438","0,5992","0,6932","0,2500","0,3333","0,3333"
851,"Di Jual Rumah Mewah Sangat Strategis Di Tebet Akses Jalan 2mobil Lebar, Rumah Menghadap Selatan","0,3125","0,5992","0,3663","0,2500","0,3333","0,6667"
852,Di jual rumah di jl persada raya,"0,0469","0,1289","0,1233","0,6250","0,2222","0,0000"
853,Rumah strategis tebet barat,"0,3422","0,5992","0,4428","0,1250","0,2222","0,1111"
854,"Rumah Baru Semi Furnished Depan TAMAN dekat Gelael, Tebet Barat, Jakarta Selatan","0,0469","0,1101","0,0379","0,3750","0,3333","0,0000"
855,"Rumah Tebet Barat Dalam - Jakarta Selatan, Tebet, Jakarta Selatan","0,0344","0,0696","0,0238","0,2500","0,1111","0,0000"
856,"4 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta","0,0250","0,0913","0,0290","0,2500","0,3333","0,0000"
857,Di Jual Rumah Cantik di Tebet Jalan 1 Mobil Jakarta Selatan,"0,0828","0,1759","0,0936","0,2500","0,2222","0,0000"
858,Rumah Brand New Minimalis Modern Bebas Banjir di Tebet,"0,0375","0,0913","0,0416","0,1250","0,2222","0,0000"
859,"4 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta","0,0352","0,1289","0,0267","0,2500","0,2222","0,0000"
860,Dijual Rumah Cantik Minimalis Di Tebet Dekat Taman,"0,0313","0,0818","0,0305","0,2500","0,3333","0,0000"
861,Rumah Murah Siap Huni Akses 2 Mobil Tebet Timur Jak Sel,"0,0484","0,1101","0,0750","0,2500","0,2222","0,0000"
862,Rumah Strategis Cocok Untuk Usaha Posisi Huk Di Tebet Timur,"0,0859","0,0630","0,0788","0,2500","0,0000","0,1111"
863,Rumah Strategis Siap Huni Akses 1mobil Di Tebet Barat,"0,0391","0,0818","0,0602","0,2500","0,2222","0,0000"
864,Rumah Siap Huni Hanya 50meter Ke Jalan Asembaris Raya,"0,0172","0,0348","0,0535","0,0000","0,1111","0,0000"
865,Rumah 2lantai Strategis Akses 2mobil Lokasi Asembaris Tebet,"0,0313","0,1289","0,0527","0,0000","0,1111","0,0000"
866,Rumah Asri Siap Huni Strategis Lokasi Asembaris Bebas Banjir,"0,0180","0,0611","0,0602","0,1250","0,1111","0,0000"
867,"Rumah Baru 2,5 Lantai Akses 1mobil Lokasi Tebet Timur","0,0313","0,1289","0,0267","0,1250","0,1111","0,1111"
868,Rumah Bagus Siap Huni Tebet Barat Jak Sel,"0,0352","0,0536","0,0371","0,2500","0,2222","0,0000"
869,Rumah Sederhana Di Tebet Timur Jak Sel,"0,0117","0,0207","0,0267","0,0000","0,0000","0,0000"
870,Rumah Siap Huni Ada Kosan 4pintu Lokasi Tebet Barat Jak Sel,"0,0438","0,1289","0,0676","0,7500","0,7778","0,0000"
871,Rumah Strategis Siap Huni Akses 1mobil Dekat Pasar Tebet Jak Sel,"0,0234","0,0536","0,0342","0,1250","0,1111","0,0000"
872,Rumah Lama Layak Huni Akses 2 Mbl Bs Utk Kosan Di Menteng Dlm Jak Sel,"0,0500","0,1759","0,1129","0,3750","0,3333","0,0000"
873,Rumah Baru Siap Huni Akses 2mobil Semi Furnised Lokasi Tebet Utara,"0,0547","0,0611","0,0267","0,1250","0,2222","0,0000"
874,Rumah Siap Huni Posisi Huk Akses 2mobil 200meter Kejalan Supomo,"0,0938","0,0818","0,0416","0,2500","0,2222","0,0000"
875,Rumah Strategis 100meter Ke Jl Supomo Di Menteng Dalam Tebet Jak Sel,"0,0250","0,0348","0,0639","0,1250","0,1111","0,0000"
876,Rumah Strategis Akses Jalan 2mobil Di Menteng Dalam Tebet Jak Sel,"0,1250","0,3641","0,3685","1,0000","1,0000","0,2222"
877,Tebet Rumah Siap Huni Jln 2 Mbl Nyaman,"0,0469","0,0913","0,0639","0,2500","0,2222","0,1111"
878,"Di Kebun Baru Rumah Terawat, Area Strategis","0,0469","0,0715","0,1308","0,2500","0,3333","0,0000"
879,Dijual Rumah Kokoh Di Gudang Peluru,"0,1484","0,3358","0,2793","0,6250","0,3333","0,1111"